page,sn,code,descr,qty,uom,uc,tc,brand_clean,coo_clean
2,42,7MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,13.0,13.0,ALPEN,AUSTRIA
2,43,4MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,12.0,12.0,ALPEN,AUSTRIA
2,44,3.5MM,"SDS,DRILL BITسا ىد سا ةشير",0.0,PKT,5.0,0.0,ALPEN,AUSTRIA
2,45,18MM,"SDS,DRILL BITسا ىد سا ةشير",67.0,EA,65.0,4355.0,ALPEN,AUSTRIA
2,46,12MM,"SDS,DRILL BITسا ىد سا ةشير",29.0,EA,40.0,1160.0,ALPEN,AUSTRIA
2,47,8MM,SDS 83708001/250MM/L سا ىد سا ةشير,28.0,EA,18.0,504.0,ALPEN,AUSTRIA
2,48,8MM,SDS 160MM/Lسا ىد سا ةشير,23.0,EA,12.0,276.0,ALPEN,AUSTRIA
2,49,10MM,SDS 310MM/L سا ىد سا ةشير84710001,77.0,EA,12.0,924.0,ALPEN,AUSTRIA
2,50,10MM,SDS 260MM/L سا ىد سا ةشير82710001,4.0,EA,12.0,48.0,ALPEN,AUSTRIA
2,51,6MM,SDS DRILL BIT سا ىد سا ةشير83706001,69.0,EA,9.0,621.0,ALPEN,AUSTRIA
2,52,13MM,SDS DRILL BIT 83713001 سا ىد سا ةشير,52.0,EA,43.0,2236.0,ALPEN,AUSTRIA
3,53,20MM,SDS DRILL BIT سا ىد سا ةشير,27.0,EA,75.0,2025.0,ALPEN,AUSTRIA
3,54,4MM,SDS DRILL BIT 83704001 سا ىد سا ةشير,20.0,EA,8.0,160.0,ALPEN,AUSTRIA
3,55,16MM,SDS DRILL BIT 83716001 سا ىد سا ةشير,51.0,EA,55.0,2805.0,ALPEN,AUSTRIA
3,56,16MM,"SDS DRILL BIT,SHORT سا ىد سا ةشير",14.0,EA,55.0,770.0,ALPEN,AUSTRIA
3,57,10MM,"SDS DRILL BIT,LONG 260MMسا ىد سا ةشير",93.0,EA,30.0,2790.0,ALPEN,AUSTRIA
3,58,10MM,SDS DRILL BIT..LONG 260MMسا ىد سا ةشير,25.0,EA,30.0,750.0,ALPEN,AUSTRIA
3,59,12MM,SDS DRILL BIT 60MM/Lسا ىد سا ةشير,23.0,EA,35.0,805.0,ALPEN,AUSTRIA
3,60,10MM,"SDS DRILL BIT,SHORTسا ىد سا ةشير",25.0,EA,33.0,825.0,ALPEN,AUSTRIA
3,61,20MM,"SDS,DRILL BITسا ىد سا ةشير",46.0,EA,75.0,3450.0,ALPEN,AUSTRIA
3,62,18MM,"SDS,DRILL BITسا ىد سا ةشير",55.0,EA,65.0,3575.0,ALPEN,AUSTRIA
3,63,16MM,"SDS,DRILL BITسا ىد سا ةشير",5.0,EA,55.0,275.0,ALPEN,AUSTRIA
3,64,16MM,"SDS,DRILL BITسا ىد سا ةشير",3.0,EA,55.0,165.0,ALPEN,AUSTRIA
3,65,16MM,"SDS,DRILL BITسا ىد سا ةشير",6.0,EA,55.0,330.0,ALPEN,AUSTRIA
3,66,7MM,"SDS,DRILL BITسا ىد سا ةشير",37.0,EA,12.0,444.0,ALPEN,AUSTRIA
3,67,2MM,HSS ديدج ةشير62402001,21.0,PKT,2.0,42.0,ALPEN,AUSTRIA
3,68,2.5MM,HSS ديدح ةشير62402501,21.0,PKT,2.0,42.0,ALPEN,AUSTRIA
3,69,3.5MM,HSS ديدح ةشير62403501,26760.0,EA,2.0,53520.0,ALPEN,AUSTRIA
3,70,"3/16""",HSS ديدح ةشير,4.0,PKT,2.0,8.0,ALPEN,AUSTRIA
3,71,14MM,SDS سا ىد سا ةشير83714001,73.0,EA,40.0,2920.0,ALPEN,AUSTRIA
3,72,10MM,"SDS,DRILL BITسا ىد سا ةشير",22.0,EA,33.0,726.0,ALPEN,AUSTRIA
3,73,10MM,SDS سا ىد سا ةشير82710001,39.0,EA,33.0,1287.0,ALPEN,AUSTRIA
3,74,10MM,"SDS,DRILL BITسا ىد سا ةشير",40.0,EA,33.0,1320.0,ALPEN,AUSTRIA
3,75,16MM,SDS سا ىد سا ةشير81716001,33.0,EA,55.0,1815.0,ALPEN,AUSTRIA
3,76,5MM,"SDS,DRILL BITسا ىد سا ةشير",105.0,EA,8.0,840.0,ALPEN,AUSTRIA
3,77,7.5MM,HSS ديدح شير تكب62407501,17.0,PKT,8.0,136.0,ALPEN,AUSTRIA
3,78,8.5MM,HSS ديدح شير تكب62408001,9.0,PKT,9.0,81.0,ALPEN,AUSTRIA
3,79,4MM,"HSS,10PC/PKTديدح شير تكاب",12.0,PKT,3.0,36.0,ALPEN,AUSTRIA
3,80,6.5MM,"HSS,10PC/PKTديدح شير تكاب",13.0,PKT,4.0,52.0,ALPEN,AUSTRIA
3,81,5.5MM,"HSS,10PC/PKTديدح شير تكاب",2.0,PKT,3.0,6.0,ALPEN,AUSTRIA
3,82,4MM,"HSS,10PC/PKTديدح شير تكاب",1.0,PKT,2.0,2.0,ALPEN,AUSTRIA
3,83,12MM,SDS 260MM/L 82710001 سا ىد سا ةشير,19.0,EA,20.0,380.0,ALPEN,AUSTRIA
3,84,14MM,"SDS,DRILL BITسا ىد سا ةشير",27.0,EA,45.0,1215.0,ALPEN,AUSTRIA
3,85,10MM,"SDS,DRILL BITسا ىد سا ةشير",4.0,EA,33.0,132.0,ALPEN,AUSTRIA
4,86,4MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,8.0,8.0,ALPEN,AUSTRIA
4,87,5MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,8.0,8.0,ALPEN,AUSTRIA
4,88,18MM,"SDS,DRILL BITسا ىد سا ةشير",3.0,EA,65.0,195.0,ALPEN,AUSTRIA
4,89,20MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,75.0,75.0,ALPEN,AUSTRIA
4,90,7MM,"SDS,DRILL BITسا ىد سا ةشير",1.0,EA,12.0,12.0,ALPEN,AUSTRIA
4,91,3.5MM,HSS62403501. ديدح ةشر,0.0,PKT,3.0,0.0,ALPEN,AUSTRIA
4,92,3.5MM,HSS62403501. ديدح ةشر,0.0,PKT,3.0,0.0,ALPEN,AUSTRIA
4,93,4MM,HSSديدح ةشر,14.0,PKT,3.0,42.0,ALPEN,AUSTRIA
4,94,"5/8""",HSS PKT 3PC-ديدح شر تكب62415871,31.0,PKT,25.0,775.0,ALPEN,AUSTRIA
4,95,12MM,"SDS,SHORTسا ىد سا ةشير",8.0,EA,40.0,320.0,ALPEN,AUSTRIA
4,96,16MM,82716001 سا ىد سا ةشير,7.0,EA,55.0,385.0,ALPEN,AUSTRIA
4,97,14MM,SDSسا ىد سا ةشير,7.0,EA,45.0,315.0,ALPEN,AUSTRIA
4,98,5MM,SDS سا ىد سا ةشير80705001,12.0,EA,15.0,180.0,ALPEN,AUSTRIA
4,99,5MM,SDS سا ىد سا ةشير80705001,1.0,EA,15.0,15.0,ALPEN,AUSTRIA
4,100,6MM,SDS سا ىد سا ةشير80706001,1.0,EA,15.0,15.0,ALPEN,AUSTRIA
4,101,4MM,SDS سا ىد سا ةشير80704001,1.0,EA,12.0,12.0,ALPEN,AUSTRIA
4,2308,ADF-200,"AC/DC,OHM,AMP,CONTINUITY",1.0,EA,180.0,180.0,AMPROBE,USA
4,2399,THWD-5,HUMIDITY/TEMP. ةرارحو ةبوطر زاهج,2.0,EA,795.0,1590.0,AMPROBE,USA
4,2402,TH-1,HUMIDITY/TEMP.,4.0,EA,650.0,2600.0,AMPROBE,USA
4,2265,220,pro200k-aramada,5.0,EA,495.0,2475.0,ARMADA,USA
4,2622,PRO220K,TONE/FENERATOR/PROBE KIT كلاسا فشاك فتاوه,5.0,EA,400.0,2000.0,ARMADA,USA
4,2530,2-PCS,DIESEL GUN لزيد سدسم,6.0,EA,40.0,240.0,AVITE,USA
4,2400,710,"TYPE K,DUAL INPUT,THERMOMETER ةرارح زاهج",2.0,EA,650.0,1300.0,B/K,USA
4,2638,262,TONE/FENERATOR/PROBE KIT كلاسا فشاك فتاوه,2.0,EA,345.0,690.0,B/K,USA
4,102,99915,BESEY F-CRAPM-100MM,9.0,,30.0,270.0,BESEY,GERMANY
4,103,10X11,RING WRENCH موتخم حاتفم,5.0,EA,16.0,80.0,BODM.,GERMANY
4,104,99941,"O/E WRENCH 12[CS,MM ىدلب مقط",3.0,SET,245.0,735.0,BODMAN,GERMANY
4,105,14X15,O/E WRENCH ىدلب حاتفم,10.0,EA,18.0,180.0,BODMAN,GERMANY
4,106,10X11,O/E WRENCH ىدلب حاتفم,10.0,EA,16.0,160.0,BODMAN,GERMANY
4,107,20X22,O/E WRENCH ىدلب حاتفم,11.0,EA,35.0,385.0,BODMAN,GERMANY
5,108,6X7,O/E WRENCH ىدلب حاتفم,12.0,EA,12.0,144.0,BODMAN,GERMANY
5,109,12X13,O/E WRENCH ىدلب حاتفم,10.0,EA,17.0,170.0,BODMAN,GERMANY
5,110,8X9,O/E WRENCH ىدلب حاتفم,12.0,EA,16.0,192.0,BODMAN,GERMANY
5,111,12MM,ر COMB.WRENCH كتشم حاتفم,35.0,EA,16.0,560.0,BODMAN,GERMANY
5,2280,80751,"B-80751 O/E,INCHمقط حوتفم حاتفم",6.0,EA,800.0,4800.0,BONNEY,USA
5,2536,"25/32""",O/E WRENCH ىدلب حاتفم,2.0,EA,35.0,70.0,BONNEY,USA
5,2537,I-5224L,"3/4DR,IMPACT,3/4 SIZE,6PT,LONG ءادوس ةبح ةليوط",8.0,EA,55.0,440.0,BONNEY,USA
5,2540,1.1/16L,"3/4DR,IMPACT,1.1/16 SIZE,6PT,LONG ءادوس ةبح ةليوط",4.0,EA,110.0,440.0,BONNEY,USA
5,2561,"1""L","3/4DR,IMPACT,6PT,1""SIZE ءادوس ةبح",11.0,EA,75.0,825.0,BONNEY,USA
5,2570,"25/32""",ر COMB.WR.كتشم حاتفم,21.0,EA,26.0,546.0,BONNEY,USA
5,2571,"3/4X13/16""",ring wrench موتخم حاتفم,8.0,EA,45.0,360.0,BONNEY,USA
5,2677,"13/16""","skt-12pt,1/2dr",11.0,EA,35.0,385.0,BONNEY,USA
5,2244,GPL4,"100ft,3m داعبلاا باسح زاهج",1.0,ea,1200.0,1200.0,BOSCH,USA
5,2246,GPL3,"100F,30M,2PT,LASER داعبلاا سايق زاهج",1.0,EA,450.0,450.0,BOSCH,USA
5,2247,GPLI5,"100F,30M,2PT,LASER داعبلاا سايق زاهج",1.0,ea,1350.0,1350.0,BOSCH,USA
5,2248,GPL3T,"ر TORPEDO,3PT ناترم",2.0,ea,530.0,1060.0,BOSCH,USA
5,2644,X387099E,SAFETY BELT,1.0,EA,1350.0,1350.0,BOUKINHAM,USA
5,112,60/0,SEPERATOR,2.0,PC,0.0,0.0,BUCO,GERMANY
5,113,10/3A,"3LEG,PULLER لجر 3 ةنيجرز",1.0,EA,1400.0,1400.0,BUCO,GERMANY
5,114,23/5,"3LEG,PULLER,20INCH لجر 3 ةنيجرز",3.0,EA,550.0,1650.0,BUCO,GERMANY
5,115,22/6,"2LEG,PULLER 26INCHلجر 2 ةنيجرز",3.0,EA,690.0,2070.0,BUCO,GERMANY
5,116,22/4,"2LEG,PULLER,16INCHلجر2 ةنيجرز",2.0,EA,495.0,990.0,BUCO,GERMANY
5,117,22/5,"2LEG,PULLER 20INCHلجر2 ةنيجرز",3.0,EA,550.0,1650.0,BUCO,GERMANY
5,2519,MAXT II,GAS DETECTOR نويرفلا فشاك,1.0,EA,3200.0,3200.0,BW,USA
5,2520,MICROCLIP X,LGAS DETECTOR نويرفلا فشاك,1.0,EA,2300.0,2300.0,BW,USA
6,118,99942,"100-125MM,O/S MICROMETER",3.0,EA,450.0,1350.0,CARL,GERMANY
6,119,99916,DIAL CALIPER,5.0,EA,190.0,950.0,CARL,GERMANY
6,123,99900,cal.bent nose ةفوكعم ةدارز,16.0,,55.0,880.0,CARL.,GERMANY
6,124,"1.1/4X1.3/8""",O/E WRENCH ىدلب حاتفم,1.0,EA,210.0,210.0,CARL.S,GERMANY
6,125,1.1/2X1.5/16,"""O/E WRENCH ىدلب حاتقم",1.0,EA,210.0,210.0,CARL.S,GERMANY
6,126,"13/16X7/8""",O/E WRENCHىدلب حاتفم,5.0,EA,35.0,175.0,CARL.S,GERMANY
6,127,"1X15/16""",ر COMB.WRENCH كتشم حاتفم,35.0,EA,32.0,1120.0,CARL.S,GERMANY
6,129,CARL.,"RATCHET,1/4DR كيتامتا دي",58.0,EA,30.0,1740.0,CARL.SH.,GERMANY
6,2512,67034,POSITEST-FM ةيوبلا ةكامس زاهج,1.0,EA,1595.0,1595.0,CHECKLIN,USA
6,2513,66142,POSITET -FM ةيوبلا ةكامس ساهج,1.0,EA,1595.0,1595.0,CHECKLIN,USA
6,2514,PT-F,POSITEST-F-66879 ةيوبلا ةكامس زاهج,1.0,EA,1595.0,1595.0,CHECKLIN,USA
6,2515,PT-FM,POSITEST-FM-66879 ةيوبلا ةكامس زاهج,1.0,EA,1595.0,1595.0,CHECKLIN,USA
6,2516,41398,PAINTCHECK ةيوبلا ةكامس زاهج,1.0,EA,2300.0,2300.0,CHECKLIN,USA
6,2517,41397,PAINTCHECK ةيوبلا ةكامس زاهج,1.0,EA,2528.0,2528.0,CHECKLIN,USA
6,2518,41395,PAINTCHECK ةيوبلا ةكامس زاهج,1.0,EA,2528.0,2528.0,CHECKLIN,USA
6,130,1.5T,"CHAIN BLOCK,2.5M عفر شنو",7.0,EA,415.0,2905.0,CITY,JAPAN
6,131,1T,"CHAIN BLOCK,2.5M عفر شنو",20.0,EA,350.0,7000.0,CITY,JAPAN
6,132,.5T,"CHAIN BLOCK,2.5M عفر شنو",13.0,EA,320.0,4160.0,CITY,JAPAN
6,133,3T,"CHAIN BLOCK,3M عفر شنو",9.0,EA,660.0,5940.0,CITY,JAPAN
6,134,5T,"CHAIN BLOCK,3M عفر شنو",4.0,EA,1100.0,4400.0,CITY,JAPAN
6,135,10T,"CHAIN BLOCK,3M عفر شنو",2.0,EA,4370.0,8740.0,CITY,JAPAN
6,136,IW-1101,"IMPACT WRENCH 1""ءاوهلا لىع حاتقم",3.0,EA,1800.0,5400.0,CITY,JAPAN
6,137,IW-1202S,"IMPACT WRENCH 1/2"" ءاوهلا لىع جاتفم",2.0,EA,550.0,1100.0,CITY,JAPAN
6,139,L10154,BACKSAW,48.0,EA,40.0,1920.0,COCACO,GERMANY
6,142,L10154,BACK SAW راشنم,50.0,,26.0,1300.0,COCACO,GERMANY
6,143,99913,16 INCH WOOD SAW بشخ راشنم,29.0,,30.0,870.0,COCACO,GERMANY
7,144,99914,18 INCH WOOD SAW بشخ راشنم,13.0,,22.0,286.0,COCACO,GERMANY
7,145,X-2480,"3/8DR,INCH",16.0,SET,395.0,6320.0,COCACO,GERMANY
7,146,X-1410,"1/4DR,MM-4-14MM",7.0,SET,390.0,2730.0,COCACO,GERMANY
7,147,400A,EARTH CLAMP 500A,31.0,EA,35.0,1085.0,COCACO,GERMANY
7,148,250A,EARTH CLAMP 250A,37.0,EA,30.0,1110.0,COCACO,GERMANY
7,149,300A,HOLDER,6.0,EA,30.0,180.0,COCACO,GERMANY
7,150,150A,HOLDER,19.0,EA,30.0,570.0,COCACO,GERMANY
7,151,150A,EARTH CLAMP 150A,42.0,EA,30.0,1260.0,COCACO,GERMANY
7,152,150A,EARTH CLAMP,57.0,EA,30.0,1710.0,COCACO,GERMANY
7,153,18660016,SPARK PLUG,37.0,EA,40.0,1480.0,COCACO,GERMANY
7,154,18660021,SPARK PLUG,37.0,EA,40.0,1480.0,COCACO,GERMANY
7,155,19301 0035,"PLASTIC HAMMEER-YELLOW,35MM",51.0,EA,35.0,1785.0,COCACO,GERMANY
7,156,19301 0022,"PLASTIC HAMMEER-YELLOW,22MM",28.0,EA,25.0,700.0,COCACO,GERMANY
7,157,L11803 0010,"10MM,CHUCK+KEY حاتفم عم فرظ",4.0,EA,18.0,72.0,COCACO,GERMANY
7,158,L11803 0016,"16MM,CHUCK مم16 ليرد فرظ",8.0,EA,35.0,280.0,COCACO,GERMANY
7,159,L11803 0010,CHUCK 10MM مم10 ليرد فرظ,14.0,EA,18.0,252.0,COCACO,GERMANY
7,160,L11803 0013,"13MM,CHUCK مم13 ليد فرظ",24.0,EA,25.0,600.0,COCACO,GERMANY
7,161,COCACO,NEST WOOD SAW راشنم مقط,5.0,SET,35.0,175.0,COCACO,GERMANY
7,162,09-400,ر CHISEL /PUNCH SET تلاترش مقط,31.0,SET,70.0,2170.0,COCACO,GERMANY
7,163,100W,SOLDERING IRON 100W-WOOD HANDLEةيواك,3.0,EA,80.0,240.0,COCACO,GERMANY
7,164,40W,SOLDERING IRON 40W-WOOD HANDLEةيواك,9.0,EA,70.0,630.0,COCACO,GERMANY
7,165,200W,SOLDERING IRON 200W-WOOD HANDLE ةيواك,4.0,EA,110.0,440.0,COCACO,GERMANY
7,166,150W,SOLDERING IRON 150W-WOOD HANDLEةيواك,11.0,EA,96.0,1056.0,COCACO,GERMANY
7,170,17052.221,SEAL PULLER فوص ةنيجرز,12.0,EA,390.0,4680.0,COCACO,GERMANY
7,171,15063 2100,ر 100Mسايق طيسر,6.0,EA,390.0,2340.0,COCACO,GERMANY
7,172,15051 2050,ر 20Mسايق طيسر,10.0,EA,125.0,1250.0,COCACO,GERMANY
7,173,15053 2050,ر 50Mسايق طيسر,31.0,EA,170.0,5270.0,COCACO,GERMANY
7,174,15051 2030,ر 30Mسايق طيسر,11.0,EA,110.0,1210.0,COCACO,GERMANY
7,175,15051 2050,ر 20Mسايق طيسر,13.0,EA,125.0,1625.0,COCACO,GERMANY
7,176,15051 2050,ر 20M سايق طيسر,5.0,EA,125.0,625.0,COCACO,GERMANY
8,177,15078 2100,ر 100M-IBM سايق طيسر,12.0,EA,380.0,4560.0,COCACO,GERMANY
8,178,15051 1030,ر 30M سايق طيسر,11.0,EA,95.0,1045.0,COCACO,GERMANY
8,179,15051 2050,ر 20M سايق طيسر,12.0,EA,125.0,1500.0,COCACO,GERMANY
8,180,14627 0015,SCRAPER 3SQ ةثلثم ةطشقم,12.0,EA,55.0,660.0,COCACO,GERMANY
8,181,14626 0015,CURVED SCRAPER ةرعقم ةطشقم,11.0,EA,55.0,605.0,COCACO,GERMANY
8,182,14627 0300,SCRAPER 3SQ ةثلثم ةطشقم,40.0,EA,65.0,2600.0,COCACO,GERMANY
8,185,9MM,HOLLOW PUNCH تكساك شيوخت كبنس,130.0,EA,15.0,1950.0,COCACO,GERMANY
8,186,42MM,HOLLOW PUNCH تكساك شيوخت كبنس,26.0,EA,135.0,3510.0,COCACO,GERMANY
8,187,40MM,HOLLOW PUNCH تكساك شيوخت كبنس,18.0,EA,135.0,2430.0,COCACO,GERMANY
8,188,38MM,HOLLOW PUNCH تكساك شيوخت كبنس,20.0,EA,120.0,2400.0,COCACO,GERMANY
8,189,44MM,HOLLOW PUNCH تكساك شيوخت كبنس,16.0,EA,155.0,2480.0,COCACO,GERMANY
8,190,43MM,HOLLOW PUNCH تكساك شيوخت كبنس,10.0,EA,145.0,1450.0,COCACO,GERMANY
8,191,50MM,HOLLOW PUNCH تكساك شيوخت كبنس,5.0,EA,220.0,1100.0,COCACO,GERMANY
8,192,12MM,HOLLOW PUNCH تكساك شيوخت كبنس,100.0,EA,20.0,2000.0,COCACO,GERMANY
8,193,13MM,HOLLOW PUNCH تكساك شيوخت كبنس,80.0,EA,20.0,1600.0,COCACO,GERMANY
8,194,11MM,HOLLOW PUNCH تكساك شيوخت كبنس,30.0,EA,18.0,540.0,COCACO,GERMANY
8,195,8MM,HOLLOW PUNCH تكساك شيوخت كبنس,30.0,EA,15.0,450.0,COCACO,GERMANY
8,196,7MM,HOLLOW PUNCH تكساك شيوخت كبنس,30.0,EA,15.0,450.0,COCACO,GERMANY
8,197,10MM,HOLLOW PUNCH تكساك شيوخت كبنس,70.0,EA,15.0,1050.0,COCACO,GERMANY
8,198,14MM,HOLLOW PUNCH تكساك شيوخت كبنس,1.0,EA,20.0,20.0,COCACO,GERMANY
8,199,45MM,HOLLOW PUNCH تكساك شيوخت كبنس,7.0,EA,160.0,1120.0,COCACO,GERMANY
8,200,17MM,HOLLOW PUNCH تكساك شيوخت كبنس,4.0,EA,23.0,92.0,COCACO,GERMANY
8,201,37MM,HOLLOW PUNCH تكساك شيوخت كبنس,2.0,EA,110.0,220.0,COCACO,GERMANY
8,202,48MM,HOLLOW PUNCH تكساك شيوخت كبنس,6.0,EA,185.0,1110.0,COCACO,GERMANY
8,203,49MM,HOLLOW PUNCH تكساك شيوخت كبنس,2.0,EA,210.0,420.0,COCACO,GERMANY
8,204,9MM,HOLLOW PUNCH تكساك شيوخت كبنس,30.0,EA,15.0,450.0,COCACO,GERMANY
8,205,47MM,HOLLOW PUNCH تكساك شيوخت كبنس,31.0,EA,180.0,5580.0,COCACO,GERMANY
8,206,15MM,HOLLOW PUNCH تكساك شيوخت كبنس,50.0,EA,20.0,1000.0,COCACO,GERMANY
8,207,16MM,HOLLOW PUNCH تكساك شيوخت كبنس,50.0,EA,21.0,1050.0,COCACO,GERMANY
8,208,13MM,HOLLOW PUNCH تكساك شيوخت كبنس,20.0,EA,16.0,320.0,COCACO,GERMANY
8,209,29MM,HOLLOW PUNCH تكساك شيوخت كبنس,30.0,EA,75.0,2250.0,COCACO,GERMANY
9,210,44MM,HOLLOW PUNCH تكساك شيوخت كبنس,22.0,EA,155.0,3410.0,COCACO,GERMANY
9,211,40MM,HOLLOW PUNCH تكساك شيوخت كبنس,2.0,EA,135.0,270.0,COCACO,GERMANY
9,212,46MM,HOLLOW PUNCH تكساك شيوخت كبنس,4.0,EA,170.0,680.0,COCACO,GERMANY
9,213,47MM,HOLLOW PUNCH تكساك شيوخت كبنس,54.0,EA,185.0,9990.0,COCACO,GERMANY
9,214,47MM,HOLLOW PUNCH تكساك شيوخت كبنس,1.0,EA,185.0,185.0,COCACO,GERMANY
9,215,39MM,HOLLOW PUNCH تكساك شيوخت كبنس,1.0,EA,125.0,125.0,COCACO,GERMANY
9,216,42MM,HOLLOW PUNCH تكساك شيوخت كبنس,2.0,EA,135.0,270.0,COCACO,GERMANY
