page,sn,code,descr,description_ar,qty,uom,uc,tc,brand_clean,coo_clean,probable_price_sar,confidence,source_name,source_url,justification_ar,priced,needs_review
1,11,20MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,47.0,EA,55.0,2585.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
1,12,6.5MM,"SDS,DRILL BIT-SHORTسا ىد سا ةشير",ريشة ثقب SDS قصيرة مقاس 6.5 مم.,82.0,EA,15.0,1230.0,ALPEN,AUSTRIA,18,متوسط,أسعار ريش SDS القصيرة في السوق العام,https://www.amazon.sa/-/en/b?ie=UTF8&node=16621040031,ريشة SDS قصيرة مقاس 6.5مم من ماركة ألمانية معروفة الجودة بسعر معقول.,True,False
1,13,16MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,46.0,EA,35.0,1610.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
1,14,16MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,19.0,EA,35.0,665.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
1,15,16MM,SDS DRILL BIT-SHORTةترصق سا ىد سا ةشير,ريشة حفر خرسانة نظام SDS قصيرة مقاس 16 مم.,3.0,EA,35.0,105.0,ALPEN,AUSTRIA,25,متوسط,PS Trading Company - SDS Plus Drill Bit,https://www.pstradingksa.com/products/sds-plus-drill-bit,ريشة حفر SDS قصيرة مقاس 16مم أعلى ثمناً قليلاً بسبب قطرها الكبير.,True,False
1,16,20MM,SDS DRILL BIT-Lةليوط سا ىد سا ةشير,ريشة ثقب خرسانة SDS طويلة مقاس 20مم من ألبن.,13.0,EA,55.0,715.0,ALPEN,AUSTRIA,80,متوسط,Kasweld – HSS/SDS drill bit Saudi Arabia benchmark,https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لريشة ثقب SDS طويلة مقاس 20مم من ألبن بناءً على أسعار ريش SDS الألمانية الكبيرة.,True,False
1,17,7MM,HSS DRILL BIT BOX 10PC,علبة تحتوي 10 ريش حفر HSS مقاس 7 مم.,18.0,PKT,80.0,1440.0,ALPEN,AUSTRIA,80,متوسط,تقدير حسب فئة ريش الحفر الألمانية/السويسرية Alpen,https://www.alpen-tools.com,علامة Alpen معروفة بجودة عالية في ريش الحفر HSS، والتقدير مبني على أسعار علب 10 قطع مماثلة بنفس المقاس.,True,False
1,18,5.5MM,HSS DRILL BIT BOX 10PC-62445501 شير مقط,طقم ريش حفر HSS للمعادن من 10 قطع بمقاسات تبدأ من 5.5مم.,10.0,PKT,60.0,600.0,ALPEN,AUSTRIA,75,متوسط,estimated from category benchmark (Alpen HSS bit sets),https://ggstore.co.za/product/hss-super-drill-bit-set-6-piecec-2-8mm/,طقم ريش حفر HSS من 10 قطع من ألبن مشابه للصنف 255 وبنفس الفئة السعرية.,True,False
1,19,4.5MM,HSS DRILL BIT-10PC/PKT-62404501 شير مقط,عبوة 10 ريش ثقب معدن HSS مقاس 6مم من ألبن.,42.0,PKT,5.0,210.0,ALPEN,AUSTRIA,75,متوسط,Kasweld – HSS drill bits Saudi Arabia,https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لعبوة 10 ريش ثقب HSS مقاس 6مم من ألبن الألمانية بناءً على أسعار ريش HSS في السوق السعودي.,True,True
1,20,6MM,HSS DRILL BIT-10PC/PKT-62406001 شير مقط,عبوة 10 ريش ثقب معدن HSS مقاس 6مم من ألبن.,89.0,PKT,6.0,534.0,ALPEN,AUSTRIA,75,متوسط,Kasweld – HSS drill bits Saudi Arabia,https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لعبوة 10 ريش ثقب HSS مقاس 6مم من ألبن الألمانية بناءً على أسعار ريش HSS في السوق السعودي.,True,True
1,21,6.5MM,HSS DRILL BIT-10PC/PKT-62406501 شير مقط,عبوة 10 ريش ثقب معدن HSS مقاس 6مم من ألبن.,26.0,PKT,8.0,208.0,ALPEN,AUSTRIA,75,متوسط,Kasweld – HSS drill bits Saudi Arabia,https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لعبوة 10 ريش ثقب HSS مقاس 6مم من ألبن الألمانية بناءً على أسعار ريش HSS في السوق السعودي.,True,True
2,22,15MM,"HSS DRILL BUT,10PC/PKT-62415001 شير مقط",طقم ريش حفر HSS متعددة المقاسات 10 قطع.,24.0,PKT,20.0,480.0,ALPEN,AUSTRIA,120,متوسط,Alpen HSS Drill Bit Set - eBay/toolservices.co.za,https://toolservices.co.za/collections/alpen,طقم ريش حفر HSS ألماني الصنع من ألبن 10 قطع بسعر مقارب لأطقم مماثلة في السوق الدولي.,True,False
2,23,13MM,HSS DRILL BUT-10PC/PKT-62413001 شير مقط,طقم ريش حفر HSS مكون من 10 قطع مقاس 13مم من ماركة ALPEN.,1.0,PKT,15.0,15.0,ALPEN,AUSTRIA,180,متوسط,Kasweld (HSS drill bit suppliers KSA),https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لطقم ريش حفر HSS مكون من 10 قطع بناءً على أسعار أطقم ريش الحفر المماثلة في السعودية.,True,True
2,24,18MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,48.0,EA,60.0,2880.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,25,18MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,19.0,EA,60.0,1140.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,26,6.5MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,10.0,EA,15.0,150.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,27,16MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,14.0,EA,45.0,630.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,28,10MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,12.0,EA,35.0,420.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,29,12MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,12.0,EA,40.0,480.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,30,14MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,1.0,EA,48.0,48.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,31,20MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,2.0,EA,55.0,110.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,32,6MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,6.0,EA,15.0,90.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,33,12MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,7.0,EA,40.0,280.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,34,18MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,4.0,EA,75.0,300.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,35,10MM,SDS DRILL BIT-Lةليوط سا ىد سا ةشير,ريشة ثقب خرسانة SDS طويلة مقاس 20مم من ألبن.,3.0,EA,30.0,90.0,ALPEN,AUSTRIA,80,متوسط,Kasweld – HSS/SDS drill bit Saudi Arabia benchmark,https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لريشة ثقب SDS طويلة مقاس 20مم من ألبن بناءً على أسعار ريش SDS الألمانية الكبيرة.,True,False
2,36,10MM,SDS DRILL BIT-MEDIUMسا ىد سا ةشير,ريشة حفر SDS متوسطة الحجم مقاس 10مم من ماركة ALPEN.,3.0,EA,30.0,90.0,ALPEN,AUSTRIA,40,متوسط,Kasweld (HSS drill bit suppliers KSA),https://www.kasweld.sa/products/hss-drill-bit-for-steel-in-saudi-arabia,سعر تقديري لريشة حفر SDS متوسطة مقاس 10مم بناءً على أسعار ريش الحفر المماثلة لدى موردي الأدوات في السعودية.,True,False
2,37,10MM,SDS DRILL BIT-SHORTةترصق سا ىد سا ةشير,ريشة حفر خرسانة نظام SDS قصيرة مقاس 16 مم.,3.0,EA,33.0,99.0,ALPEN,AUSTRIA,25,متوسط,PS Trading Company - SDS Plus Drill Bit,https://www.pstradingksa.com/products/sds-plus-drill-bit,ريشة حفر SDS قصيرة مقاس 16مم أعلى ثمناً قليلاً بسبب قطرها الكبير.,True,False
2,38,"7/32""",HSS 10PC/PKT-ديدح شير تكب13164,طقم ريش حفر HSS للمعادن من 10 قطع بمقاسات مختلفة تبدأ من 5مم.,11.0,PKT,10.0,110.0,ALPEN,AUSTRIA,75,متوسط,estimated from category benchmark (Alpen HSS bit sets),https://ggstore.co.za/product/hss-super-drill-bit-set-6-piecec-2-8mm/,طقم ريش حفر HSS من 10 قطع من ألبن يقع ضمن نطاق أسعار أطقم ريش الحفر الصغيرة من نفس العلامة.,True,False
2,39,5MM,HSS 10PC/PKT-ديدح شير تكب62405001,طقم ريش حفر HSS للمعادن من 10 قطع بمقاسات مختلفة تبدأ من 5مم.,70.0,PKT,8.0,560.0,ALPEN,AUSTRIA,75,متوسط,estimated from category benchmark (Alpen HSS bit sets),https://ggstore.co.za/product/hss-super-drill-bit-set-6-piecec-2-8mm/,طقم ريش حفر HSS من 10 قطع من ألبن يقع ضمن نطاق أسعار أطقم ريش الحفر الصغيرة من نفس العلامة.,True,True
2,40,18MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,12.0,EA,65.0,780.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,41,6MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,39.0,EA,13.0,507.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,42,7MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,1.0,EA,13.0,13.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,43,4MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,1.0,EA,12.0,12.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,44,3.5MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,0.0,PKT,5.0,0.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,True
2,45,18MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,67.0,EA,65.0,4355.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,46,12MM,"SDS,DRILL BITسا ىد سا ةشير",مثقب خرسانة نوع SDS بقياس 18 مم لمطرقة حفر دوارة.,29.0,EA,40.0,1160.0,ALPEN,AUSTRIA,55,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,تم العثور على موزع سعودي فعلي لمثاقب SDS Plus، وسعر مثقب بقياس 18 مم من علامة متوسطة الجودة يقع عادة في هذا النطاق للاستخدام في الخرسانة.,True,False
2,47,8MM,SDS 83708001/250MM/L سا ىد سا ةشير,ريشة حفر SDS طول 310 مم مقاس 10 مم من ألبن الألمانية، تمثل عائلة من 4 مقاسات.,28.0,EA,18.0,504.0,ALPEN,AUSTRIA,70,متوسط,A-One Tools & Fixings (Alpen SDS bit),https://www.aonetools.co.uk/product/alpen-uk-10mm-x-310mm-sds-rebar-drill-force-x/,تم تأكيد وجود نفس المواصفات (10 مم × 310 مم) من ألبن الألمانية لدى موزع بريطاني متخصص، وتم اعتماد سعر يعكس فئة ريش الحفر SDS المتوسطة الجودة.,True,False
2,48,8MM,SDS 160MM/Lسا ىد سا ةشير,ريشة حفر خرسانة نظام SDS مقاس 8 مم طول 160 مم.,23.0,EA,12.0,276.0,ALPEN,AUSTRIA,20,متوسط,PS Trading Company - SDS Plus Drill Bit,https://www.pstradingksa.com/products/sds-plus-drill-bit,ريشة حفر SDS مقاس 8مم طول 160مم من ألبن تقارب أسعار ريش SDS المشابهة في السوق.,True,False
2,49,10MM,SDS 310MM/L سا ىد سا ةشير84710001,ريشة حفر SDS طول 310 مم مقاس 10 مم من ألبن الألمانية، تمثل عائلة من 4 مقاسات.,77.0,EA,12.0,924.0,ALPEN,AUSTRIA,70,متوسط,A-One Tools & Fixings (Alpen SDS bit),https://www.aonetools.co.uk/product/alpen-uk-10mm-x-310mm-sds-rebar-drill-force-x/,تم تأكيد وجود نفس المواصفات (10 مم × 310 مم) من ألبن الألمانية لدى موزع بريطاني متخصص، وتم اعتماد سعر يعكس فئة ريش الحفر SDS المتوسطة الجودة.,True,False
2,50,10MM,SDS 260MM/L سا ىد سا ةشير82710001,ريشة حفر SDS طول 310 مم مقاس 10 مم من ألبن الألمانية، تمثل عائلة من 4 مقاسات.,4.0,EA,12.0,48.0,ALPEN,AUSTRIA,70,متوسط,A-One Tools & Fixings (Alpen SDS bit),https://www.aonetools.co.uk/product/alpen-uk-10mm-x-310mm-sds-rebar-drill-force-x/,تم تأكيد وجود نفس المواصفات (10 مم × 310 مم) من ألبن الألمانية لدى موزع بريطاني متخصص، وتم اعتماد سعر يعكس فئة ريش الحفر SDS المتوسطة الجودة.,True,False
2,51,6MM,SDS DRILL BIT سا ىد سا ةشير83706001,مثقب خرسانة نوع SDS بقياس 16 مم لمطرقة حفر دوارة.,69.0,EA,9.0,621.0,ALPEN,AUSTRIA,50,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,مثقب SDS بقياس 16 مم من نفس عائلة المنتج في البند 292، وسعره قريب جدًا من مثيله بقياس 18 مم مع فارق طفيف بسبب صغر القطر.,True,False
2,52,13MM,SDS DRILL BIT 83713001 سا ىد سا ةشير,مثقب خرسانة نوع SDS بقياس 16 مم لمطرقة حفر دوارة.,52.0,EA,43.0,2236.0,ALPEN,AUSTRIA,50,متوسط,PS Trading Company (موزع سعودي لمثاقب SDS),https://www.pstradingksa.com/products/sds-plus-drill-bit,مثقب SDS بقياس 16 مم من نفس عائلة المنتج في البند 292، وسعره قريب جدًا من مثيله بقياس 18 مم مع فارق طفيف بسبب صغر القطر.,True,False
